Disease,Locality,Latitude,Longitude,Reported Cases,Severity,Source,Date
Hepatitis,Dasarahalli,12.850148,77.591691,66,Medium,WHO,2024-12-21
Tuberculosis,Ulsoor,12.825413,77.652139,79,High,CDC,2024-02-24
COVID-19,MG Road,13.189235,77.530884,31,Low,HealthMap,2024-05-08
Tuberculosis,BTM Layout,12.819088,77.723114,362,Low,Local Hospital,2024-04-16
Malaria,Wilson Garden,13.164009,77.798241,459,Medium,User Report,2024-02-01
COVID-19,Bommanahalli,13.097531,77.784156,466,High,User Report,2024-01-21
COVID-19,Hennur,13.172976,77.791999,441,High,Local Hospital,2024-01-06
Zika Virus,Nagarbhavi,13.031228,77.565914,466,High,CDC,2024-08-29
Hepatitis,HSR Layout,13.198856,77.678324,309,Medium,HealthMap,2024-05-18
Hepatitis,Rajajinagar,12.976801,77.734912,224,Medium,HealthMap,2024-06-06
Tuberculosis,Rajajinagar,12.959476,77.680811,124,Low,Local Hospital,2024-02-02
Cholera,Domlur,12.83567,77.696448,232,High,WHO,2024-11-01
Cholera,Hebbal,13.041515,77.59373,308,High,CDC,2024-03-22
Malaria,Sarjapur Road,13.064348,77.776135,460,Medium,HealthMap,2024-01-31
Tuberculosis,Malleshwaram,12.950046,77.538546,493,High,User Report,2024-06-30
Malaria,Magadi Road,13.1244,77.643973,289,Low,HealthMap,2024-05-03
COVID-19,Banaswadi,12.978092,77.68311,225,Low,User Report,2024-09-06
Cholera,Chickpet,12.933727,77.665934,172,High,Local Hospital,2024-08-13
Zika Virus,Devanahalli,12.980724,77.511182,400,Medium,User Report,2024-02-09
COVID-19,Sahakar Nagar,12.957939,77.591703,463,Low,Local Hospital,2024-06-23
COVID-19,Hebbal,12.813439,77.611347,147,Low,CDC,2024-08-31
Malaria,Sahakar Nagar,13.063805,77.732953,203,Medium,CDC,2024-01-28
Swine Flu,Jayanagar,13.109192,77.619032,166,High,WHO,2024-04-26
Cholera,Rajajinagar,13.136567,77.533758,442,Medium,WHO,2024-05-31
Tuberculosis,Kasturi Nagar,12.920689,77.679372,29,Low,Local Hospital,2024-03-30
Malaria,Kanakapura Road,12.864078,77.742038,296,Medium,CDC,2024-03-10
Tuberculosis,Hoodi,12.82832,77.703781,97,Medium,Local Hospital,2024-12-30
Dengue,Hoodi,13.16321,77.599958,327,Medium,User Report,2024-01-17
Zika Virus,Yelahanka,12.935514,77.692423,10,Low,CDC,2024-10-06
Dengue,Hoodi,13.055049,77.506043,332,Medium,CDC,2024-04-05
Dengue,KR Puram,13.090737,77.651045,78,High,CDC,2024-02-06
Cholera,Hoodi,13.18292,77.596437,500,Medium,User Report,2024-09-03
Dengue,KR Market,12.917054,77.71456,133,Low,WHO,2024-11-10
Zika Virus,HBR Layout,12.865278,77.551667,312,High,Local Hospital,2024-07-28
Malaria,Hoodi,12.949713,77.797432,99,High,WHO,2024-02-24
Swine Flu,Kasturi Nagar,12.941834,77.618252,184,High,User Report,2024-11-03
Dengue,Malleshwaram,13.180707,77.517019,129,Medium,Local Hospital,2024-03-06
COVID-19,Ulsoor,13.124159,77.669801,158,High,HealthMap,2024-07-13
Hepatitis,Hoodi,12.964874,77.685493,328,Low,User Report,2024-02-01
COVID-19,HBR Layout,12.89053,77.587356,306,Medium,HealthMap,2024-06-10
Dengue,Electronic City,13.074939,77.589494,143,Low,User Report,2024-12-07
COVID-19,Hennur,12.912827,77.528059,23,High,WHO,2024-07-21
Zika Virus,Kengeri,13.00576,77.632104,179,High,WHO,2024-07-31
Malaria,Ramamurthy Nagar,13.069723,77.54741,223,Medium,HealthMap,2024-07-16
Swine Flu,Peenya,13.183475,77.752798,319,High,WHO,2024-11-06
Tuberculosis,RT Nagar,13.084592,77.555889,40,Low,HealthMap,2024-02-26
Swine Flu,JP Nagar,13.118788,77.676523,31,Medium,WHO,2024-05-17
Swine Flu,Ramamurthy Nagar,13.058573,77.512034,112,High,HealthMap,2024-08-01
Dengue,BTM Layout,13.150316,77.504575,452,High,Local Hospital,2024-06-23
Dengue,Gandhinagar,13.115296,77.615747,491,High,CDC,2024-07-26
Tuberculosis,Banaswadi,12.933224,77.680673,333,Medium,CDC,2024-07-03
Dengue,Sahakar Nagar,12.840771,77.630102,469,High,User Report,2024-03-05
Malaria,Electronic City,13.00051,77.645364,390,High,WHO,2024-08-04
COVID-19,Hoodi,12.942797,77.795588,96,High,CDC,2024-02-21
COVID-19,Kadugodi,12.93629,77.551615,129,Low,HealthMap,2024-05-11
Cholera,Majestic,12.936073,77.692505,499,Medium,CDC,2024-07-19
Tuberculosis,Shivajinagar,12.839988,77.737905,82,High,HealthMap,2024-09-17
Malaria,Basavanagudi,12.929947,77.627578,131,Low,HealthMap,2024-07-11
Tuberculosis,Hulimavu,12.821027,77.643278,385,Low,HealthMap,2024-07-20
Tuberculosis,Nagarbhavi,12.959516,77.512583,235,Low,HealthMap,2024-12-21
Zika Virus,Hoodi,12.951489,77.605594,96,Medium,CDC,2024-10-11
Swine Flu,Devanahalli,12.905664,77.746058,442,High,WHO,2024-12-23
Cholera,JP Nagar,13.146902,77.758336,66,High,WHO,2024-07-17
Hepatitis,Marathahalli,13.166896,77.510198,362,Medium,Local Hospital,2024-02-19
Dengue,Devanahalli,13.023672,77.64375,163,Low,WHO,2024-11-01
Swine Flu,Domlur,12.908246,77.609943,153,High,WHO,2024-03-10
COVID-19,Hulimavu,12.96776,77.737937,301,Low,WHO,2024-10-16
Hepatitis,Vijayanagar,12.859965,77.711829,90,Low,WHO,2024-02-01
Tuberculosis,Indiranagar,13.030465,77.591765,244,Medium,HealthMap,2024-08-13
Cholera,Basavanagudi,12.976344,77.558276,120,Medium,User Report,2024-05-29
Hepatitis,Kammanahalli,13.085866,77.780627,442,High,Local Hospital,2024-07-26
Hepatitis,Hulimavu,12.831694,77.750674,474,Low,Local Hospital,2024-03-07
Dengue,Kengeri,12.923492,77.627538,335,High,CDC,2024-05-13
Zika Virus,KR Market,13.116492,77.793239,226,Low,CDC,2024-06-17
COVID-19,Indiranagar,12.816382,77.744689,222,Medium,WHO,2024-12-01
Hepatitis,Banaswadi,12.845584,77.615798,434,High,User Report,2024-02-26
Malaria,Mysore Road,13.161702,77.506058,94,High,Local Hospital,2024-12-31
Hepatitis,Kasturi Nagar,13.021364,77.754422,106,Low,WHO,2024-04-21
Malaria,Kadugodi,12.833882,77.630486,79,Low,User Report,2024-06-08
Cholera,Shivajinagar,13.156635,77.75857,255,Low,WHO,2024-02-15
Dengue,JP Nagar,12.960373,77.50086,274,Medium,Local Hospital,2024-06-12
Hepatitis,Gandhinagar,12.892803,77.550237,96,Medium,Local Hospital,2024-12-21
Tuberculosis,HSR Layout,13.120804,77.609991,314,Medium,CDC,2024-06-15
Hepatitis,Peenya,12.867373,77.639241,481,Medium,Local Hospital,2024-03-19
Malaria,Banashankari,13.167555,77.692014,331,Low,Local Hospital,2024-08-22
Malaria,Hoodi,12.891805,77.799158,470,Medium,WHO,2024-02-16
Tuberculosis,Marathahalli,13.082932,77.571708,322,Low,Local Hospital,2024-12-28
Cholera,Ramamurthy Nagar,13.117864,77.589024,359,High,Local Hospital,2024-01-30
Cholera,Vijayanagar,12.983087,77.627207,251,Medium,User Report,2024-12-05
Zika Virus,Hulimavu,13.116053,77.501743,449,Low,CDC,2024-01-05
Zika Virus,Rajajinagar,13.13319,77.522021,480,Medium,WHO,2024-09-03
Swine Flu,Hulimavu,12.962636,77.682002,414,Low,User Report,2024-12-27
Zika Virus,Banaswadi,12.86751,77.588334,148,High,User Report,2024-06-17
Hepatitis,Vijayanagar,12.801273,77.510009,287,Medium,WHO,2024-10-26
Zika Virus,Peenya,12.915951,77.733075,209,High,User Report,2024-11-12
Hepatitis,Dasarahalli,12.802359,77.799805,415,High,HealthMap,2024-04-06
Zika Virus,Whitefield,13.040416,77.629508,357,High,HealthMap,2024-12-26
Swine Flu,HBR Layout,13.109149,77.549489,247,High,HealthMap,2024-03-14
Dengue,Kanakapura Road,12.889949,77.57057,332,Low,WHO,2024-02-29
Tuberculosis,Koramangala,13.132601,77.522898,117,Low,User Report,2024-02-03
Malaria,Varthur,13.057666,77.729677,376,Low,Local Hospital,2024-10-05
Zika Virus,Chickpet,12.947336,77.596059,404,High,User Report,2024-05-20
Tuberculosis,Lalbagh,12.873752,77.707089,130,High,WHO,2024-05-27
Malaria,KR Market,13.066252,77.725522,238,Medium,WHO,2024-12-01
Dengue,Electronic City,13.181154,77.602822,88,High,HealthMap,2024-07-22
Hepatitis,Domlur,13.162978,77.767973,295,High,HealthMap,2024-02-25
Tuberculosis,Jayanagar,13.046279,77.638538,388,Medium,User Report,2024-10-18
COVID-19,Nagarbhavi,13.183567,77.77155,232,Low,HealthMap,2024-03-28
COVID-19,Hulimavu,13.074219,77.727758,459,Low,WHO,2024-06-04
Tuberculosis,Banaswadi,13.09425,77.708344,445,Medium,Local Hospital,2024-07-06
Swine Flu,KR Market,12.984776,77.781416,238,Low,WHO,2024-06-14
Hepatitis,Domlur,12.854883,77.568758,329,Medium,Local Hospital,2024-08-25
Cholera,Chickpet,13.19088,77.649761,301,Low,HealthMap,2024-06-08
Swine Flu,HBR Layout,12.83675,77.711339,48,High,HealthMap,2024-10-08
Cholera,Hulimavu,13.018793,77.747638,215,Medium,User Report,2024-12-05
Cholera,Sahakar Nagar,13.143974,77.7901,285,Low,User Report,2024-02-22
Tuberculosis,Bommanahalli,12.855709,77.736017,170,High,Local Hospital,2024-02-21
Malaria,Ramamurthy Nagar,13.121306,77.664147,362,Medium,WHO,2024-10-14
Malaria,Jayanagar,12.965416,77.617444,402,Medium,HealthMap,2024-10-21
